Object,Period(minute),Start Time,DL_Resource_Block_Utilizing_Rate(%),MaxUSER,Interference(dBm),4G User DL Throughput_SWAP(Kbps)
"E_MGW573_TirtaAgung-CMI-eNodeB Function Name=E_MGW573M41_GWKMCI-CMI, Local Cell ID=33, Cell Name=C_MGW573MR1_TirtaAgung-CMI_MR03, eNodeB ID=248573, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,7.342,4,"	-114",30905.812
"E_MGW573_TirtaAgung-CMI-eNodeB Function Name=E_MGW573M41_GWKMCI-CMI, Local Cell ID=23, Cell Name=C_MGW573MR1_TirtaAgung-CMI_MR02, eNodeB ID=248573, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,5.828,31,"	-117",12012.251
"E_MGW573_TirtaAgung-CMI-eNodeB Function Name=E_MGW573M41_GWKMCI-CMI, Local Cell ID=11, Cell Name=E_MGW573ML1_TirtaAgung-CMI_ML01, eNodeB ID=248573, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,23.67,8,"	-116",3607.361
"E_MGW573_TirtaAgung-CMI-eNodeB Function Name=E_MGW573M41_GWKMCI-CMI, Local Cell ID=13, Cell Name=C_MGW573MR1_TirtaAgung-CMI_MR01, eNodeB ID=248573, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,2.132,3,"	-116",5455.127
"E_MGW302_FestivalPark-MSD-eNodeB Function Name=E_MGW302M41_FestivalPark-MSD, Local Cell ID=11, Cell Name=E_MGW302ML1_FestivalPark-MSD_ML01, eNodeB ID=248302, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,0.952,5,"	-118",5462.857
"E_MGW302_FestivalPark-MSD-eNodeB Function Name=E_MGW302M41_FestivalPark-MSD, Local Cell ID=21, Cell Name=E_MGW302ML1_FestivalPark-MSD_ML02, eNodeB ID=248302, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,1.372,7,"	-118",12888.767
"E_MGW302_FestivalPark-MSD-eNodeB Function Name=E_MGW302M41_FestivalPark-MSD, Local Cell ID=35, Cell Name=E_MGW302MF1_FestivalPark-MSD_MF03, eNodeB ID=248302, Cell FDD TDD indication=CELL_TDD",1,9/22/2022 14:28,2.866,1,"	-118",NIL
"E_MGW573_TirtaAgung-CMI-eNodeB Function Name=E_MGW573M41_GWKMCI-CMI, Local Cell ID=31, Cell Name=E_MGW573ML1_TirtaAgung-CMI_ML03, eNodeB ID=248573, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,17.826,49,"	-115",21119.241
"E_MGW302_FestivalPark-MSD-eNodeB Function Name=E_MGW302M41_FestivalPark-MSD, Local Cell ID=34, Cell Name=E_MGW302ME1_FestivalPark-MSD_ME03, eNodeB ID=248302, Cell FDD TDD indication=CELL_TDD",1,9/22/2022 14:28,1.155,2,"	-117",5148.162
"E_MGW573_TirtaAgung-CMI-eNodeB Function Name=E_MGW573M41_GWKMCI-CMI, Local Cell ID=21, Cell Name=E_MGW573ML1_TirtaAgung-CMI_ML02, eNodeB ID=248573, Cell FDD TDD indication=CELL_FDD",1,9/22/2022 14:28,12.717,32,"	-116",13750.408
